coauthor	all_isiks	all_viafs	localid
$aLeetberg, Kaarel,$d1867-1945	ISIK1559	http://viaf.org/viaf/1438149544570700490005	623
$aAstrem, Robert,$d1887-1941	ISIK156	http://viaf.org/viaf/6640149544611200490006	624
$aLeets, Georg,$d1896-1975	ISIK1561	http://viaf.org/viaf/653145857928723020384	626
$aLehepuu, Heino,$d1907-1944	ISIK1563	http://viaf.org/viaf/6366149544609300490008	628
$aLehmann	ISIK1564	""	629
$aLehmann, Johannes,$d1872-?	ISIK1564	""	629
$aAudova, Aleksander,$d1892-1932	ISIK157	http://viaf.org/viaf/67508870	635
$aLeichter, Karl,$d1902-1987	ISIK1570	http://viaf.org/viaf/54563052	636
$aLeinassaar, Julius	ISIK1572	""	638
$aKruus, Albert,$d1903-?	ISIK1576	http://viaf.org/viaf/33149542894200302358	642
$aKruus, Hans,$d1891-1976	ISIK1577	http://viaf.org/viaf/267114431	643
$aKruus, Jaan,$d1884-1942	ISIK1578	http://viaf.org/viaf/5190147270515135700003	644
$aKruustee, Juhan,$d1884-1942	ISIK1585	http://viaf.org/viaf/58149542777800301300	652
$aKubjas, Eduard,$d1896-1983	ISIK1588	http://viaf.org/viaf/30149542819800301841	655
$aAuksmann, Alfred,$d1879-1956	ISIK159 ISIK6590	http://viaf.org/viaf/116149542803900301629	657
$aKuhlbars, Friedrich,$d1841-1924	ISIK1591	http://viaf.org/viaf/70145542374996640756	659
$aVilli Andi,$cpseud.,$d1841-1924	ISIK1591	http://viaf.org/viaf/70145542374996640756	659
$aKuhlbusch, Hans,$d?-1905	ISIK1592	""	660
$aKukk, A.	ISIK1596	""	664
$aKukk, Aleksander,$d1890-?	ISIK1596	""	664
$aKukk, Tõnis	ISIK1599	""	667
$aAul, Juhan,$d1897-1994	ISIK160	http://viaf.org/viaf/50082092	669
$aKukke, Hugo Villi,$d1898-1942	ISIK1601	http://viaf.org/viaf/4440149544594400490009	671
$aKuldkepp, Martin,$d1912-1991	ISIK1605 VEPER3603	""	675
$aKuldsepp, August,$d1892-1941	ISIK1606	""	676
$aKull, Raimund,$d1882-1942	ISIK1614	http://viaf.org/viaf/5574149544603100490000	685
$aKullerkupp, Oskar,$d1897-1943	ISIK1617	http://viaf.org/viaf/8434149544624800490003	688
$aAndrejev, Jaan,$cpseud.,$d1891-1931	ISIK1618	http://viaf.org/viaf/7610149544618400490006	689
$aCharles,$cpseud.,$d1891-1931	ISIK1618	http://viaf.org/viaf/7610149544618400490006	689
$aCharles, pseud.,$d1891-1931	ISIK1618	http://viaf.org/viaf/7610149544618400490006	689
$aKullerkupp, Richard,$d1891-1931	ISIK1618	http://viaf.org/viaf/7610149544618400490006	689
$aKunder, Juhan,$d1852-1888	ISIK1623	http://viaf.org/viaf/10177453	695
